CATEGORY,M,K,N,CASE,REF_SEC,NEON_SEC,SPEEDUP,MAXERR,RMSE,FINITE,STATUS,CHECKSUM
DIMENSION,1,1,1,random,2.031e-06,3.646e-06,0.557049,0,0,1,PASS,865751533137554401
DIMENSION,1,3,5,random,1.51e-06,3.437e-06,0.439337,0,0,1,PASS,3445313796087147998
DIMENSION,3,1,7,random,1.51e-06,1.406e-06,1.07397,0,0,1,PASS,18080658018303646339
DIMENSION,2,5,3,random,1.146e-06,1.354e-06,0.846381,0,0,1,PASS,13764410328565271048
DIMENSION,5,3,7,random,1.979e-06,2.031e-06,0.974397,0,0,1,PASS,12218099958458444091
DIMENSION,7,11,5,random,3.281e-06,2.76e-06,1.18877,0,0,1,PASS,2452072280828443213
DIMENSION,13,9,17,random,1.5469e-05,4.896e-06,3.15952,0,0,1,PASS,5633391486618778619
DIMENSION,17,19,13,random,1.6042e-05,8.854e-06,1.81184,0,0,1,PASS,5204003059412057949
DIMENSION,31,29,37,random,8.9115e-05,4.7396e-05,1.88022,0,0,1,PASS,14216424463062929464
DIMENSION,37,31,29,random,8.4531e-05,3.6198e-05,2.33524,0,0,1,PASS,13746575311293567344
DIMENSION,63,65,67,random,0.000794479,0.000313125,2.53726,0,0,1,PASS,1736832572380116320
DIMENSION,65,67,63,random,0.000558541,0.000254479,2.19484,0,0,1,PASS,5157088632810873201
DIMENSION,127,129,131,random,0.00393427,0.00201203,1.95537,0,0,1,PASS,634390370056304278
DIMENSION,129,127,125,random,0.00679906,0.00150708,4.5114,0,0,1,PASS,1344943570129110649
DIMENSION,255,257,253,random,0.0303946,0.0141969,2.14093,0,0,1,PASS,16451435127446463509
DIMENSION,257,255,259,random,0.0304348,0.0161192,1.88811,0,0,1,PASS,7417510677106766780
DIMENSION,383,385,387,random,0.101208,0.0546071,1.85339,0,0,1,PASS,5510683039489715958
DIMENSION,511,513,509,random,0.239059,0.137712,1.73594,0,0,1,PASS,13490107663561399452
DIMENSION,513,511,517,random,0.240997,0.123991,1.94367,0,0,1,PASS,14554196427404743480
DIMENSION,1000,1001,997,random,2.17305,1.06723,2.03615,0,0,1,PASS,14681854915415158158
DIMENSION,1023,1025,1021,random,2.26162,1.30166,1.73749,0,0,1,PASS,8730102837257032159
DIMENSION,1025,1023,1027,random,2.32975,1.47742,1.5769,0,0,1,PASS,15465382577843186117
CORRECTNESS,34,94,17,random_0,0,0,0,0,0,1,PASS,8650753315787974301
CORRECTNESS,88,113,112,random_1,0,0,0,0,0,1,PASS,13523391755483905393
CORRECTNESS,45,72,113,random_2,0,0,0,0,0,1,PASS,13755361640906814065
CORRECTNESS,129,27,106,random_3,0,0,0,0,0,1,PASS,8796496490062631995
CORRECTNESS,8,66,87,random_4,0,0,0,0,0,1,PASS,15748965349527491226
CORRECTNESS,15,108,29,random_5,0,0,0,0,0,1,PASS,8895474506282394086
CORRECTNESS,62,105,98,random_6,0,0,0,0,0,1,PASS,16356901722495933810
CORRECTNESS,4,131,56,random_7,0,0,0,0,0,1,PASS,1659949957048794415
